chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value,log2_scaled_value,scaled_value,scaled_value_no_etop,scaled_value_no_etop_across_samples,trunc_variable
0,2.5,0,2.5µM Mk2i,SW948,facs,24,Cleaved_Caspase_3_24h,51.6,NA,NA,NA,NA,Cleaved
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,Cleaved_Caspase_3_24h,37.7,NA,NA,NA,NA,Cleaved
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,Cleaved_Caspase_3_24h,39.4,NA,NA,NA,NA,Cleaved
0,0,0,DMSO,HCT116,facs,48,Cleaved_Caspase_3_48h,5.93,NA,NA,NA,NA,Cleaved
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,Cleaved_Caspase_3_48h,17.3,NA,NA,NA,NA,Cleaved
1,0,0,1µM Chk1i,HCT116,facs,48,Cleaved_Caspase_3_48h,24.6,NA,NA,NA,NA,Cleaved
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,Cleaved_Caspase_3_48h,4.22,NA,NA,NA,NA,Cleaved
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,Cleaved_Caspase_3_48h,31.4,NA,NA,NA,NA,Cleaved
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,Cleaved_Caspase_3_48h,36,NA,NA,NA,NA,Cleaved
0,0,0,DMSO,SW620,facs,48,Cleaved_Caspase_3_48h,0.52,NA,NA,NA,NA,Cleaved
0.5,0,0,0.5µM Chk1i,SW620,facs,48,Cleaved_Caspase_3_48h,1.05,NA,NA,NA,NA,Cleaved
1,0,0,1µM Chk1i,SW620,facs,48,Cleaved_Caspase_3_48h,4.21,NA,NA,NA,NA,Cleaved
0,2.5,0,2.5µM Mk2i,SW620,facs,48,Cleaved_Caspase_3_48h,1.08,NA,NA,NA,NA,Cleaved
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,Cleaved_Caspase_3_48h,5.97,NA,NA,NA,NA,Cleaved
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,Cleaved_Caspase_3_48h,14.3,NA,NA,NA,NA,Cleaved
0,0,0,DMSO,SW948,facs,48,Cleaved_Caspase_3_48h,25.3,NA,NA,NA,NA,Cleaved
0.5,0,0,0.5µM Chk1i,SW948,facs,48,Cleaved_Caspase_3_48h,49.8,NA,NA,NA,NA,Cleaved
1,0,0,1µM Chk1i,SW948,facs,48,Cleaved_Caspase_3_48h,37.6,NA,NA,NA,NA,Cleaved
0,2.5,0,2.5µM Mk2i,SW948,facs,48,Cleaved_Caspase_3_48h,40.5,NA,NA,NA,NA,Cleaved
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,Cleaved_Caspase_3_48h,48.1,NA,NA,NA,NA,Cleaved
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,48,Cleaved_Caspase_3_48h,49.6,NA,NA,NA,NA,Cleaved
