chek1i,mk2i,etoposide,treatment,cell_line,expertype,time,variable,value
0.5,0,0,0.5µM Chk1i,HCT116,facs,24,pHistone_H3_24h,10.2
1,0,0,1µM Chk1i,HCT116,facs,24,pHistone_H3_24h,3.62
0,2.5,0,2.5µM Mk2i,HCT116,facs,24,pHistone_H3_24h,3.24
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,pHistone_H3_24h,4.88
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,24,pHistone_H3_24h,0.31
0,0,42,42µM etoposide (2h),HCT116,facs,24,pHistone_H3_24h,NA
0,0,0,DMSO,SW620,facs,24,pHistone_H3_24h,3.58
0.5,0,0,0.5µM Chk1i,SW620,facs,24,pHistone_H3_24h,4.57
1,0,0,1µM Chk1i,SW620,facs,24,pHistone_H3_24h,4.65
0,2.5,0,2.5µM Mk2i,SW620,facs,24,pHistone_H3_24h,3.12
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,pHistone_H3_24h,3.34
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,24,pHistone_H3_24h,2.1
0,0,42,42µM etoposide (2h),SW620,facs,24,pHistone_H3_24h,NA
0,0,0,DMSO,SW948,facs,24,pHistone_H3_24h,2.84
0.5,0,0,0.5µM Chk1i,SW948,facs,24,pHistone_H3_24h,2.69
1,0,0,1µM Chk1i,SW948,facs,24,pHistone_H3_24h,3.78
0,2.5,0,2.5µM Mk2i,SW948,facs,24,pHistone_H3_24h,1.16
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,pHistone_H3_24h,2.1
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW948,facs,24,pHistone_H3_24h,1.69
0,0,42,42µM etoposide (2h),SW948,facs,24,pHistone_H3_24h,NA
0,0,0,DMSO,HCT116,facs,48,pHistone_H3_48h,2.64
0.5,0,0,0.5µM Chk1i,HCT116,facs,48,pHistone_H3_48h,3.91
1,0,0,1µM Chk1i,HCT116,facs,48,pHistone_H3_48h,1.62
0,2.5,0,2.5µM Mk2i,HCT116,facs,48,pHistone_H3_48h,2.24
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,pHistone_H3_48h,1.24
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,HCT116,facs,48,pHistone_H3_48h,0.14
0,0,42,42µM etoposide (2h),HCT116,facs,48,pHistone_H3_48h,NA
0,0,0,DMSO,SW620,facs,48,pHistone_H3_48h,2.44
0.5,0,0,0.5µM Chk1i,SW620,facs,48,pHistone_H3_48h,3.52
1,0,0,1µM Chk1i,SW620,facs,48,pHistone_H3_48h,4.09
0,2.5,0,2.5µM Mk2i,SW620,facs,48,pHistone_H3_48h,2.41
0.5,2.5,0,0.5µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,pHistone_H3_48h,3.44
1,2.5,0,1µM Chk1i/ 2.5µM Mk2i,SW620,facs,48,pHistone_H3_48h,2.73
0,0,42,42µM etoposide (2h),SW620,facs,48,pHistone_H3_48h,NA
0,0,0,DMSO,SW948,facs,48,pHistone_H3_48h,3.97
0.5,0,0,0.5µM Chk1i,SW948,facs,48,pHistone_H3_48h,2.78
